comp
"CITI"
"GAZP"
"BAC"
"MCD"
"ZM"
"TSLA"
"CSCO"
"AAPL"
"GILD"
"SBER"
"SNGS"
"PIKK"
"NFLX"
"AMZN"
"NVDA"
"MSFT"
"YNDX"
"LKOH"
"LNTA"
"MGNT"
"MVID"
"ROSN"
"VTBR"
"INTC"
